IPA_id,area_m2,mean_velD,mean_velA,mean_dwslp_scalarD,mean_dwslp_scalarA,LOS_vel_mean,mean_dwslp_velD,mean_dwslp_velA,dwslp_vel_mean,mean_slope_deg,mean_elevation_m,mean_temp_C,mean_precip_mm,mean_velD_MA,mean_velA_MA,mean_dwslp_scalarD_MA,mean_dwslp_scalarA_MA,LOS_vel_mean_MA,mean_dwslp_velD_MA,mean_dwslp_velA_MA,dwslp_vel_mean_MA,dwslp_velA_MA_fullScalar,dwslp_velD_MA_fullScalar,dwslp_vel_MA_fullScalar,Morphology,Up_connect,aspect_med_cardinal,MA_area_m2,MA_mean_slope_deg,MA_aspect_med_cardinal,MA_mean_elevation_m,MA_mean_temp_C,MA_mean_ppt_mm,geometry,lon,lat
RGU384548N1092728W,73857.852,0.004455108,0.004270901,6.009747746,2.294062605,0.004455108,0.026774073,0.009797715,0.026774073,20.26700107,3156.083333,2.699840413,913.3458279,0.010436663,0.006394437,9.455403255,1.470374327,0.010436663,0.09868286,0.009402216,0.09868286,0.014669238,0.062721714,0.062721714,Tongue,TC,NW,9375.242,19.8116056,NW,3191.991587,1.669289852,960.4530428,"c(-109.272876193812, 38.4548512496871)",-109.2728762,38.45485125
RGU384562N1092261W,183021.078,0.002954048,0.004690004,3.410897852,9.9800946,0.004690004,0.010075957,0.046806685,0.046806685,25.00740758,3369.540904,1.258799149,1144.439591,0.003553112,0.011193031,1.953467263,10.89986928,0.011193031,0.006940888,0.122002572,0.122002572,0.111707505,0.012119302,0.111707505,Tongue,TC,SE,27116.417,27.55101013,SE,3473.824653,0.985588664,1143.575034,"c(-109.226154396027, 38.4562243605886)",-109.2261544,38.45622436
RGU384564N1092345W,27294.894,0.00306039,0.005598872,1.15402665,12.68840316,0.005598872,0.003531771,0.071040746,0.071040746,28.89506242,3507.740498,-0.150000006,1179.480103,0.005487626,0.007013863,1.191212058,8.370985031,0.007013863,0.006536926,0.058712944,0.058712944,0.088994724,0.006332866,0.088994724,Tongue,TC,E,6618.459,25.49972916,E,3495.595703,-0.150000006,1179.480103,"c(NA, NA)",NA,NA
RGU384575N1092331W,50742.597,0.002249376,0.011823663,1.849324472,7.496234131,0.011823663,0.004159826,0.088632945,0.088632945,36.8662772,3507.386607,-0.150000006,1179.480103,0.002349871,0.015932009,1.849101088,6.526608615,0.015932009,0.004345148,0.103981985,0.103981985,0.119430067,0.004345673,0.119430067,Lobate,TC,S,33542.315,38.39415148,S,3518.169792,-0.150000006,1179.480103,"c(-109.233179949179, 38.457526893008)",-109.2331799,38.45752689
RGU384624N1092391W,25249.945,0.008651296,0.001816137,11.55442679,1.280183193,0.008651296,0.099960764,0.002324988,0.099960764,38.47754255,3583.424554,0.625324595,1159.97793,0.010803527,0.001730373,8.155851884,1.46131897,0.010803527,0.08811197,0.002528626,0.08811197,0.002215194,0.124828567,0.124828567,Tongue,TC,SW,16023.041,38.29304088,SW,3580.911577,0.616030562,1149.769617,"c(NA, NA)",NA,NA
RGU384660N1092217W,92817.174,0.007024956,0.00604106,2.515008198,5.72630248,0.007024956,0.017667821,0.034592938,0.034592938,14.60767396,3304.411839,1.665091239,1079.022694,0.015237102,0.012177327,1.775677881,7.88399062,0.015237102,0.027056185,0.096005934,0.096005934,0.069731059,0.038321437,0.069731059,Tongue,TC,E,32478.35,17.81139853,NE,3327.00436,1.440000057,1107.276001,"c(-109.221782987491, 38.4660731074307)",-109.221783,38.46607311
RGU384718N1092339W,155100.953,0.003815255,0.00165338,5.746483389,2.805598095,0.003815255,0.021924301,0.00463872,0.021924301,19.61590638,3390.571023,1.48638422,1093.854589,0.005696402,0.001344746,10.99199155,1.338138982,0.005696402,0.062614808,0.001799457,0.062614808,0.003772816,0.032734282,0.032734282,Lobate,TC,NW,26674.029,23.39844392,NW,3372.789063,1.780000091,1083.303101,"c(-109.233977167497, 38.4719199419055)",-109.2339772,38.47191994
RGU384721N1092285W,62801.82,0.002817104,0.007354564,1.256823403,5.850742158,0.007354564,0.003540602,0.043029659,0.043029659,30.75435965,3337.728795,2.309627463,1072.704677,0.003231624,0.009200091,1.258294141,6.472218831,0.009200091,0.004066334,0.059545005,0.059545005,0.053827363,0.004061581,0.053827363,Tongue,TC,NE,36894.418,29.5980202,NE,3338.35272,2.356066839,1071.100775,"c(-109.228571500226, 38.4721587683899)",-109.2285715,38.47215877
RGU384723N1092459W,44700.307,0.010431633,0.002036944,7.84255309,2.082023233,0.010431633,0.081810633,0.004240964,0.081810633,18.49166611,3295.44518,1.923480136,1059.056675,0.013408432,0.002253423,9.725172043,1.752538681,0.013408432,0.130399312,0.003949211,0.130399312,0.00469168,0.105156343,0.105156343,Lobate,DC,NW,20734.189,17.89857483,NW,3296.4375,2.146795919,1048.212816,"c(NA, NA)",NA,NA
RGU384773N1092289W,30174.655,0.001573762,0.002173419,1.720295134,10.63134838,0.002173419,0.002707335,0.02310637,0.02310637,22.35748,3228.198661,2.397547099,1067.714747,6.12E-04,0.00423032,1.314092289,13.11671586,0.00423032,8.04E-04,0.055487911,0.055487911,0.044974011,0.001052293,0.044974011,Lobate,DC,N,7873.761,18.58209229,N,3218.879616,2.610994825,1062.32682,"c(-109.228952999359, 38.4773023203762)",-109.228953,38.47730232
RGU384922N1092444W,148023.364,0.00515732,0.002838732,5.992935712,3.750683837,0.00515732,0.030907488,0.010647187,0.030907488,15.54629684,3106.127799,2.93658292,1011.321548,0.008286279,0.002974569,4.448201881,2.285935024,0.008286279,0.036859042,0.006799672,0.036859042,0.011156669,0.049659137,0.049659137,Lobate,DC,SW,39948.496,13.94014754,SW,3102.644458,2.832066799,1027.480483,"c(-109.244438140689, 38.4922165237296)",-109.2444381,38.49221652
RGU385006N1092122W,46381.63,0.00177074,0.001326059,11.39779171,1.276352175,0.00177074,0.020182528,0.001692518,0.020182528,35.10459457,3399.836694,0.932693741,1147.284248,0.003536811,9.44E-04,9.134262085,1.215909611,0.003536811,0.032306162,0.001147828,0.032306162,0.001204886,0.04031184,0.04031184,Tongue,TC,SW,8354.913,34.21956288,NW,3388.379616,0.968903498,1147.461546,"c(-109.212291974991, 38.5006309964747)",-109.212292,38.500631
RGU385055N1092504W,100228.014,0.005085372,0.003367927,5.525828426,1.46684116,0.005085372,0.028100891,0.004940214,0.028100891,32.07228031,3124.892857,3.172393148,1001.065242,0.011329733,0.003915222,9.408914795,1.422359619,0.011329733,0.106600488,0.005568853,0.106600488,0.005743009,0.062606158,0.062606158,Tongue,TC,NW,18532.975,20.18823486,NW,3078.31625,3.480000257,1004.98407,"c(-109.250439354862, 38.5055022128496)",-109.2504394,38.50550221
